"","X_WGS84","Y_WGS84","bio3","bio4","bio7","bio11","bio12"
"1",-94.5,82.000007823,12.777774474782,15086.6668990257,471.555585300055,-381.777738750145,93.2221627680089
"2",-91.5,82.000007823,12.2307698385507,15473.6916052391,478.615367603656,-385.307699745395,87.5384870228684
"3",-88.5,82.000007823,11.6470600291736,15987.7638584915,487.29410728402,-391.352895025869,95.6469579722307
"4",-85.5,82.000007823,11.2499988200405,16186.333518117,489.541676875568,-396.624997033769,103.749954454215
"5",-82.5,82.000007823,11.1111104505053,15788.0377917214,478.851873654614,-396.111104566123,131.666579757306
"6",-79.5,82.000007823,11.4333343242335,15299.0673246688,466.133358671762,-389.899980969556,148.399881488242
"7",-76.5,82.000007823,11.7187538356653,14720.6573643777,450.406282188869,-380.093764861201,162.12497929145
"8",-73.5,82.000007823,12.2222194972455,14136.5568257258,433.777811798771,-369.472251953615,179.694428068175
"9",-70.5,82.000007823,12.7999982450659,13496.0009166742,416.933352126626,-353.733330577008,187.566581831904
"10",-67.5,82.000007823,13.7931016975638,13105.5526848442,412.103449559958,-332.586276364026,159.655270048991
"11",-64.5,82.000007823,14.5925951799389,13011.1481653366,417.074061661733,-324.148134799998,156.296236311913
"12",-61.5,82.000007823,14.7368423687743,12758.4745313951,415.736853436192,-314.684235370113,160.473735034242
"13",-58.5,82.000007823,13.736846556091,12413.2638099893,403.473713126542,-320.421013504607,206.578798880861
"14",-55.5,82.000007823,13.6249930213266,12122.6256750266,396.541686311993,-315.541686145609,203.833336716267
"15",-52.5,82.000007823,13.6818209340719,11860.3183341848,390.36364196773,-310.363614018545,207.681715491577
"16",-49.5,82.000007823,14.3461525433473,11733.50013206,387.884620616982,-307.576898684392,205.846036399689
"17",-46.5,82.000007823,14.6666676106534,11673.1998550635,386.433332535423,-307.366627257433,207.466529851465
"18",-43.5,82.000007823,15.2777805744754,11634.9168156046,385.69444814513,-306.527770237307,207.027683791607
"19",-40.5,82.000007823,14.7222250232587,11708.4442781407,385.138896340237,-324.555511199622,276.97204240353
"20",-37.5,82.000007823,15.2222175849751,11680.3616152436,383.722228680497,-325.500018335989,281.277846864518
"21",-34.5,82.000007823,15.8055580262868,11655.8055467493,382.611113040804,-319.91667245347,251.000025906656
"22",-31.5,82.000007823,16.5833296739496,11705.3052385179,383.916660897278,-314.249999797914,217.972268664069
"23",-28.5,82.000007823,17.1944443814281,11963.0550577298,394.638870902732,-322.222215033811,205.666723269521
"24",-25.5,82.000007823,17.1818149839106,12116.4237550372,398.545448187604,-312.424275951424,173.030397132868
"25",-22.5,82.000007823,17.0740793212061,12265.1846758008,402.074062953941,-303.259303131239,152.037121764748
"26",-19.5,82.000007823,17,12401.4372033645,404.87499185925,-307.500002454152,187.687383423227
"27",-16.5,82.000007823,16.9999868575141,12152.0024612628,393.250081236135,-277.250114957814,167.812555816486
"28",-13.5,82.000007823,16.9230809127642,11206.3113612503,362.846277141332,-254.615455358659,188.307556471782
"29",-10.5,82.000007823,17,10394.0030535996,338.000105296452,-238.000000000144,211.99994735163
"30",19.5,82.000007823,18,6761.50147622341,234.500031409009,-148.000219863061,234.500439726122
"31",22.5,82.000007823,18,6658.00245600456,232.000125948952,-148.000314872379,252.000629744758
"32",46.5,82.000007823,22,7503.49872064033,277.249964523023,-185.749964523075,247.750035672395
"33",49.5,82.000007823,21.7142955711559,7940.28343351565,290.999948279344,-200.714200936318,241.285683273688
"34",52.5,82.000007823,21.0000361809877,8278.99905952901,301.499963819012,-212.500217555301,244.500688768661
"35",55.5,82.000007823,20.8999923022688,9301.29795283352,326.899922001669,-241.799962434593,241.200017649042
"36",58.5,82.000007823,19.9999999999862,10080.4268732231,349.142825186182,-259.571432605735,227.785809434237
"37",61.5,82.000007823,20,9731.33631867905,339.777853008131,-256.555618677611,207.666781741443
"38",64.5,82.000007823,20,9441.12571402701,334.375018765271,-253.250055132007,188.750143374509
"39",79.5,82.000007823,18,10246.6665363886,334.333306187814,-273.000092049447,154.33364437246
"40",91.5,82.000007823,17.7499999608854,11814.7497663491,386.99993626279,-309.000021258775,129.999978858569
"41",94.5,82.000007823,17.8750111085138,12082.1246126675,396.500002209873,-321.624838026444,162.999681460443
"42",97.5,82.000007823,18,12136.4996271803,399.499955898302,-314.750158609097,165.750230618386
"43",-115.5,79.000007823,11.6666666666667,14457.3332510367,453.333334715369,-359.333327909485,74
"44",-112.5,79.000007823,12,14488.9231400671,454.615390789496,-362.615383691688,68.9999977403364
"45",-109.5,79.000007823,12,14491.5557156908,455.666663867806,-362.222235990572,64.6666803393761
"46",-106.5,79.000007823,13.2499941523701,14458.2502096546,459.000005808515,-362.999988343874,75.4999824571103
"47",-103.5,79.000007823,13.9999997957328,14551.0557216454,464.500000604132,-369.055569823685,99.6110971993621
"48",-100.5,79.000007823,13.9999998311922,14482.9999738683,463.631582138295,-363.473696562544,99.9473819052749
"49",-97.5,79.000007823,13.9333335888786,14423.4670375873,462.199997835641,-356.600018425622,98.8666677879833
"50",-94.5,79.000007823,13.3103420544966,14536.1720275724,460.620675252986,-362.75865448461,106.172457207408
"51",-91.5,79.000007823,11.6666627004452,14727.7984339893,457.3999480715,-380.033403862187,130.633482477092
"52",-88.5,79.000007823,11.9000011225801,15439.299262719,476.066650508465,-376.399995887845,120.466648469394
