site,period,x_wgs84,y_wgs84,temp,precip,cover_agri,cover_water,cover_wet,sdiv_hab,Cuculus canorus,Emberiza citrinella,Erithacus rubecula,Fulica atra,Luscinia megarhynchos,Passer domesticus,Phylloscopus trochilus,Serinus serinus,Sitta europaea,Streptopelia decaocto,Turdus philomelos,Alauda arvensis,Periparus ater,Coccothraustes coccothraustes,Emberiza calandra,Phylloscopus bonelli,Regulus regulus,Perdix perdix,Sylvia melanocephala,Cettia cetti
100134,2006-2011,4.03058139205235,48.5524041041015,17.8640522875817,181.486928104575,77.506839126288,0,0,0.791593327621177,5,12,1,1,17,12,3,0,1,2,2,7,0,1,4,0,0,3,0,0
100134,2012-2017,4.03058139205235,48.5524041041015,17.7199346405229,224.118736383442,77.451799823368,0,0,0.798399167374685,3,7,3,3,5,7,0,0,0,3,0,1,0,0,0,0,0,1,0,0
100232,2006-2011,4.59750294386002,48.5069615066348,17.8350762527233,218.696078431373,80.62855593982,0,0,1.3010918356412,5,8,1,1,11,4,0,2,1,4,0,4,0,0,1,0,0,2,0,0
100232,2012-2017,4.59750294386002,48.5069615066348,17.7303921568628,250.915032679739,80.62855593982,0,0,1.3010918356412,3,9,2,2,8,4,0,1,2,4,5,3,0,1,1,0,0,2,0,0
100239,2006-2011,3.54192538566302,48.5044409151526,17.9666666666667,162.239651416122,60.81773159362,1.82483619057,0,1.29458333311701,1,2,3,2,4,0,1,0,1,0,1,14,0,0,6,0,1,2,0,1
100239,2012-2017,3.54192538566302,48.5044409151526,17.7786492374728,229.574074074074,61.06774091892,1.82483619057,0,1.24864956710593,4,2,1,2,4,0,3,0,1,0,1,9,0,0,2,0,0,3,0,1
100275,2006-2011,4.51561081728747,48.4905117709031,17.6974945533769,211.67211328976,97.9037481717,0,0,0.101761884020376,1,0,0,0,2,0,0,0,0,0,0,38,0,0,21,0,0,5,0,0
100275,2012-2017,4.51561081728747,48.4905117709031,17.5952069716776,246.26688453159,97.9037481717,0,0,0.101761884020376,0,0,0,0,2,0,0,0,0,0,0,44,0,0,24,0,0,13,0,0
100280,2006-2011,4.65079881869002,48.4879432386475,17.8970588235294,216.067538126362,29.8696538884,12.9653812279,4.12258552059,1.5131670217073,15,3,5,196,4,5,1,0,3,1,6,3,0,2,1,0,1,2,0,0
100280,2012-2017,4.65079881869002,48.4879432386475,17.7849673202615,246.510893246187,30.8696911894,13.2778928844,4.12258552059,1.38523481641192,9,1,2,131,2,3,1,1,2,1,4,1,0,2,1,0,0,1,0,0
