X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-91.5,82.000007823,train,483788.85830938886,100.0,0.9999999466590154
-88.5,82.000007823,train,642911.743055109,100.0,0.9999999598610935
-85.5,82.000007823,train,278920.3288185907,100.0,0.9999999074797697
-79.5,82.000007823,train,446613.24824995,100.0,0.999999942218969
-76.5,82.000007823,train,0.0025679569055611752,6.792296951129873,0.0905047272250619
-73.5,82.000007823,train,0.05740696899103989,63.477828553347784,0.6898819332197904
-70.5,82.000007823,train,0.006512273453276156,19.883505250717345,0.20150577395339142
-67.5,82.000007823,train,8.034940489692001E-8,0.001206423167512868,3.1136113282880943E-6
-64.5,82.000007823,train,1.1818083150292265E-7,0.0019439192662118756,4.579606243300147E-6
-61.5,82.000007823,train,9.760440947455702E-8,0.0015427969102102073,3.7822556647135235E-6
-85.5,79.000007823,train,503687.4888954684,100.0,0.9999999487662992
-82.5,79.000007823,train,2373.7746538897823,100.0,0.9999891289196922
-79.5,79.000007823,train,10.412773713150376,100.0,0.9975278460579667
-76.5,79.000007823,train,0.06071651645084472,64.06854323123927,0.7017441994383348
-73.5,79.000007823,train,1.7463149071956412E-6,0.02248863088106158,6.766689666395199E-5
-70.5,79.000007823,train,5.40818968020183E-8,7.363590894680749E-4,2.095724021312703E-6
-112.5,76.000007823,train,2.4525936910947975E-6,0.027429262335712672,9.50314639447694E-5
-109.5,76.000007823,train,2.4149232495014498E-6,0.027235393127447403,9.357197138842353E-5
-106.5,76.000007823,train,2.180198116489521E-6,0.026027390943979007,8.447775359438455E-5
-85.5,76.000007823,train,2.5957645811977584E-6,0.028166084786867492,1.0057839611161051E-4
-82.5,76.000007823,train,0.009471754657268404,30.144493265387453,0.26849256830964147
-79.5,76.000007823,train,2.142458374528784E-10,1.6975010169250422E-7,8.302243667869076E-9
88.5,76.000007823,train,0.010357487340848485,32.90636247905712,0.2864090943875281
91.5,76.000007823,train,0.021851322319816485,47.774576868922004,0.4585113939091609
94.5,76.000007823,train,0.024561864150053063,49.47442321344694,0.4876516817921543
97.5,76.000007823,train,0.02591710972014268,49.95098199920687,0.5010762575201437
100.5,76.000007823,train,0.02473374656079226,49.53487431395883,0.4893941530423657
103.5,76.000007823,train,0.019776204078358017,45.833118923069954,0.43386014145998825
106.5,76.000007823,train,0.024563944122276055,49.475154740405564,0.4876728387547064
109.5,76.000007823,train,0.8172850481414831,100.0,0.9693914644657751
112.5,76.000007823,train,1.1356385879539947E8,100.0,0.9999999997727642
-121.5,73.000007823,train,2.342917829737611E-7,0.00413615630555343,9.078962051173302E-6
-118.5,73.000007823,train,2.873802786000339E-7,0.005120913458101228,1.1136153573342617E-5
-115.5,73.000007823,train,3.100997259644294E-7,0.005522103710671259,1.2016534843461052E-5
-112.5,73.000007823,train,3.356685765957488E-7,0.005973610011778744,1.3007328972911931E-5
-103.5,73.000007823,train,3.710533779204093E-7,0.006598450799183989,1.4378488401269823E-5
-94.5,73.000007823,train,3.216124737226835E-7,0.005725401005135706,1.2462654587764583E-5
-85.5,73.000007823,train,2.30914537368857E-7,0.004073087249541542,8.948092714102003E-6
-82.5,73.000007823,train,9.194922301846765E-4,4.842345359390875,0.0344053515874896
-79.5,73.000007823,train,0.0011742671895117105,5.416185537825595,0.04352354834972257
-76.5,73.000007823,train,0.0011213773831692802,5.259868149778904,0.04164485532018997
67.5,73.000007823,train,0.002155502890793623,6.235613672572482,0.07708885358943729
73.5,73.000007823,train,0.002543423114553684,6.7211410484049185,0.08971763735696642
76.5,73.000007823,train,0.003947244763489326,10.535064309093578,0.1326670280046928
79.5,73.000007823,train,0.003984642466375621,10.827616291879172,0.13375584323719134
82.5,73.000007823,train,0.007611277876805898,24.328121860017045,0.22776627868673016
85.5,73.000007823,train,0.020123032607920865,46.29617429088041,0.43813531129444167
88.5,73.000007823,train,0.025746356333917947,49.890933665894906,0.49942369892405497
91.5,73.000007823,train,0.03133439175610664,51.85601658305324,0.5483776701771603
94.5,73.000007823,train,2.0297761716560396,100.0,0.9874460001614221
97.5,73.000007823,train,34.21526742210107,100.0,0.9992463502740392
100.5,73.000007823,train,1.0349796480273664E92,100.0,1.0
103.5,73.000007823,train,1.1213868447300711E92,100.0,1.0
106.5,73.000007823,train,1.159816919049155E92,100.0,1.0
112.5,73.000007823,train,4.075384562777658E91,100.0,1.0
118.5,73.000007823,train,2.667668004012605E92,100.0,1.0
121.5,73.000007823,train,2.667668004012605E92,100.0,1.0
124.5,73.000007823,train,2.6434621878078796E92,100.0,1.0
127.5,73.000007823,train,2.6101154121889014E92,100.0,1.0
130.5,73.000007823,train,2.570566791129775E92,100.0,1.0
139.5,73.000007823,train,0.0012931201494851652,5.605143089370109,0.047718555378035696
142.5,73.000007823,train,7.0581383900401E-6,0.05128601242711123,2.734352418463969E-4
145.5,73.000007823,train,0.0014154259916026666,5.673688330357756,0.05199719033632561
148.5,73.000007823,train,0.4145657127186377,100.0,0.9413999858612491
-163.5,70.000007823,train,1.1697498732762459E-4,0.5382454359937963,0.0045124450699006325
-157.5,70.000007823,train,1.7498053656870395E-6,0.022525461545107508,6.780213715178696E-5
-154.5,70.000007823,train,7.224297169973878E-10,5.662093204072196E-7,2.7994884272273903E-8
-151.5,70.000007823,train,2.310708653865175E84,100.0,1.0
-148.5,70.000007823,train,1.9113910409201513,100.0,0.9866788055740663
-142.5,70.000007823,train,5.060218305578851E-6,0.040849283394141844,1.9605015405742946E-4
-133.5,70.000007823,train,0.2063776847397747,100.0,0.888856099341261
