X_WGS84,Y_WGS84,GuloGulo_AllData_RUN1 logistic values
-94.5,82.000007823,0.61923623
-58.5,82.000007823,0.00790437
-55.5,82.000007823,0.007018994
-52.5,82.000007823,0.0063036303
-49.5,82.000007823,0.005923856
-46.5,82.000007823,0.0044489736
-43.5,82.000007823,0.0043330346
-37.5,82.000007823,0.004416274
-34.5,82.000007823,0.00432509
-31.5,82.000007823,0.10011259
-28.5,82.000007823,0.13625671
-22.5,82.000007823,4.7658756E-5
-19.5,82.000007823,0.15969178
-16.5,82.000007823,3.8703214E-9
-13.5,82.000007823,0.029398711
-10.5,82.000007823,0.021929992
19.5,82.000007823,6.669154E-4
46.5,82.000007823,3.8696607E-4
49.5,82.000007823,0.0021766226
52.5,82.000007823,0.004545355
55.5,82.000007823,0.013980837
58.5,82.000007823,0.018418994
64.5,82.000007823,0.014941484
79.5,82.000007823,5.54163E-6
94.5,82.000007823,4.3414075E-5
97.5,82.000007823,3.7632706E-9
-112.5,79.000007823,7.0461875E-4
-109.5,79.000007823,7.0553535E-4
-106.5,79.000007823,6.806433E-4
-100.5,79.000007823,6.803593E-4
-97.5,79.000007823,1.0243645E-4
-91.5,79.000007823,0.090862475
-67.5,79.000007823,0.005154899
-61.5,79.000007823,0.007117047
-58.5,79.000007823,0.042335752
-55.5,79.000007823,0.56597763
-46.5,79.000007823,0.27658486
-43.5,79.000007823,0.27192193
-40.5,79.000007823,0.26376453
-37.5,79.000007823,0.2524949
-28.5,79.000007823,0.29860362
-25.5,79.000007823,0.0837529
-22.5,79.000007823,0.088005416
-19.5,79.000007823,2.2420812E-9
-16.5,79.000007823,2.7895614E-5
10.5,79.000007823,0.023229482
13.5,79.000007823,0.025626663
16.5,79.000007823,7.502805E-4
19.5,79.000007823,6.402204E-4
22.5,79.000007823,5.5605255E-4
25.5,79.000007823,0.004889757
28.5,79.000007823,0.004715049
31.5,79.000007823,2.7571767E-4
34.5,79.000007823,5.342542E-4
46.5,79.000007823,3.8269704E-4
49.5,79.000007823,0.002106318
52.5,79.000007823,0.0024768242
55.5,79.000007823,0.013545359
58.5,79.000007823,0.018101877
61.5,79.000007823,0.017151568
91.5,79.000007823,4.528815E-5
94.5,79.000007823,4.1004875E-9
97.5,79.000007823,0.1574947
103.5,79.000007823,0.12691566
106.5,79.000007823,0.15814376
-121.5,76.000007823,8.711018E-5
-103.5,76.000007823,8.889938E-5
-97.5,76.000007823,1.5374655E-5
-94.5,76.000007823,4.2154384E-6
-91.5,76.000007823,5.0399944E-6
-73.5,76.000007823,2.0842874E-6
-70.5,76.000007823,1.0042266E-5
-61.5,76.000007823,0.0013845633
-58.5,76.000007823,0.0010983461
-55.5,76.000007823,0.038661383
-52.5,76.000007823,0.039675105
-49.5,76.000007823,0.041115705
-46.5,76.000007823,0.016150162
-43.5,76.000007823,0.22221422
-37.5,76.000007823,0.045330904
-34.5,76.000007823,0.012830736
-25.5,76.000007823,0.4435923
-19.5,76.000007823,0.01807693
13.5,76.000007823,0.023431484
22.5,76.000007823,0.004786029
55.5,76.000007823,5.865499E-4
58.5,76.000007823,0.16950944
61.5,76.000007823,0.018507497
64.5,76.000007823,0.016296396
67.5,76.000007823,0.013894835
82.5,76.000007823,0.029589988
85.5,76.000007823,0.16530468
136.5,76.000007823,2.2758293E-4
142.5,76.000007823,4.2639385E-5
145.5,76.000007823,1.0471675E-4
151.5,76.000007823,0.005544316
-100.5,73.000007823,5.1453403E-6
-97.5,73.000007823,5.0224644E-6
-58.5,73.000007823,7.7499053E-4
-55.5,73.000007823,2.776922E-4
-52.5,73.000007823,0.02763717
-49.5,73.000007823,0.031514004
-46.5,73.000007823,0.033152677
-43.5,73.000007823,0.031857736
-40.5,73.000007823,0.029448928
-37.5,73.000007823,0.026816437
-34.5,73.000007823,0.024142751
-31.5,73.000007823,0.021898314
-28.5,73.000007823,0.19318326
-25.5,73.000007823,0.19536407
-22.5,73.000007823,0.101466835
-19.5,73.000007823,0.003022985
19.5,73.000007823,0.004471983
55.5,73.000007823,0.012174923
58.5,73.000007823,0.0036321806
136.5,73.000007823,0.40105227
151.5,73.000007823,0.8807665
-55.5,70.000007823,0.010136461
-52.5,70.000007823,0.0010567282
-49.5,70.000007823,0.20372054
-46.5,70.000007823,0.024897797
-43.5,70.000007823,0.023262046
-40.5,70.000007823,0.020966752
-37.5,70.000007823,0.018825922
-34.5,70.000007823,0.016155057
-31.5,70.000007823,0.13545413
-28.5,70.000007823,0.059127446
-25.5,70.000007823,0.00592385
-22.5,70.000007823,0.014989847
-7.5,70.000007823,3.0452793E-4
13.5,70.000007823,3.2573676E-4
43.5,70.000007823,4.723345E-4
49.5,70.000007823,0.020894257
55.5,70.000007823,0.02805668
-76.5,67.000007823,0.0079918895
-52.5,67.000007823,0.018861532
-49.5,67.000007823,0.04447504
-46.5,67.000007823,0.17674415
-40.5,67.000007823,0.13217239
-34.5,67.000007823,0.010840215
-31.5,67.000007823,7.4923126E-4
-22.5,67.000007823,2.7885073E-4
-13.5,67.000007823,2.2488808E-4
10.5,67.000007823,2.1285453E-4
-169.5,64.000007823,0.036595445
-85.5,64.000007823,0.48272416
-79.5,64.000007823,0.13305894
-46.5,64.000007823,0.029618343
-43.5,64.000007823,0.025836786
-40.5,64.000007823,5.9155165E-4
-25.5,64.000007823,1.5132572E-4
-22.5,64.000007823,1.6846857E-4
-19.5,64.000007823,2.5032792E-4
-13.5,64.000007823,2.2013752E-4
-91.5,61.000007823,0.78716177
-82.5,61.000007823,0.42446867
-79.5,61.000007823,0.13565451
-49.5,61.000007823,3.292289E-4
-43.5,61.000007823,3.6876026E-4
-1.5,61.000007823,3.1697025E-5
4.5,61.000007823,1.9725993E-4
19.5,61.000007823,0.007685478
178.5,61.000007823,0.06435206
-169.5,58.000007823,0.0044512516
-145.5,58.000007823,0.0025162427
-7.5,58.000007823,2.8741939E-5
-4.5,58.000007823,1.4242105E-4
-1.5,58.000007823,2.7502065E-5
4.5,58.000007823,0.0028795952
10.5,58.000007823,0.0038342096
16.5,58.000007823,5.337618E-4
19.5,58.000007823,0.0041964124
22.5,58.000007823,0.008682224
25.5,58.000007823,0.010481149
28.5,58.000007823,0.012208856
